GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,JuradoServiceImpl,572,535,40,20,96,108,63,18,35,14
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ExternalApiServiceImpl,79,100,1,1,15,32,5,6,4,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,AnteproyectoServiceImpl,168,348,19,23,30,83,22,16,6,11
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ReporteServiceImpl,137,499,15,23,14,75,17,25,5,18
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,PermisoService,45,33,13,7,8,7,9,5,2,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,SolicitudServiceImpl,708,670,71,31,127,136,74,21,29,15
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,AuditoriaService,60,10,8,0,15,2,7,2,3,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ChatbotService,164,3,42,0,25,1,23,1,2,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EmailService,86,7,4,0,19,2,5,2,3,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ProgresoTitulacionServiceImpl,17,256,5,9,5,55,5,14,0,12
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutoriaServiceImpl,484,769,52,44,84,189,69,17,25,13
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CatalogoAdminService,44,18,0,0,16,1,4,1,4,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutorServiceImpl,344,22,12,0,73,2,17,2,11,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TemaServiceImpl,61,422,9,37,3,88,12,34,4,19
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ActaServiceImpl,480,2034,101,99,52,344,94,46,15,25
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CronogramaServiceImpl,309,227,23,13,53,49,28,10,15,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,RecursoTitulacionServiceImpl,35,129,0,10,5,30,0,14,0,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,NotificacionServiceImpl,30,229,5,17,5,54,9,17,4,11
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EvaluacionJuradoService,17,319,6,24,1,71,8,19,2,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EstudianteService,520,27,56,0,101,1,46,1,18,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,RubricaEvaluacionServiceImpl,890,170,74,8,194,25,59,9,19,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,UsuarioServiceImpl,113,190,9,7,18,40,17,11,10,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ProgresoTitulacionServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.jwt,JwtAuthenticationFilter,51,109,2,14,15,23,3,10,1,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.jwt,JwtTokenProvider,179,190,22,8,41,51,18,14,5,12
