GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,AuditoriaService,60,10,8,0,15,2,7,2,3,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EmailService,86,7,4,0,19,2,5,2,3,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutoriaServiceImpl,426,706,41,35,75,177,56,16,22,12
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CatalogoAdminService,44,18,0,0,16,1,4,1,4,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutorServiceImpl,344,22,12,0,73,2,17,2,11,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ActaServiceImpl,555,1206,46,48,66,188,37,28,5,13
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CronogramaServiceImpl,309,227,22,14,53,49,27,11,15,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,NotificacionServiceImpl,12,158,3,11,3,36,5,12,2,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EvaluacionJuradoService,0,230,3,17,0,55,3,15,0,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EstudianteService,520,27,56,0,101,1,46,1,18,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,RubricaEvaluacionServiceImpl,857,76,69,3,191,9,54,5,19,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,UsuarioServiceImpl,108,181,7,5,17,38,15,11,10,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.jwt,JwtAuthenticationFilter,35,79,9,7,5,18,6,6,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.jwt,JwtTokenProvider,96,198,14,10,30,57,12,14,2,12
