ID_Requisito,Titulo,Fuente,Modulo,Endpoint_REST,Prioridad_MoSCoW,Metodo_Verificacion,Caso_Prueba,Estado,Evidencia,Observaciones
RF-47,Generacion de ideas de tema,docs/funcionalidades/CENTRO-ORIENTACION.md (objetivo declarado del modulo),Orientacion,POST /api/v1/orientacion/temas/generar,Could,Prueba + Inspeccion,ninguna,Implementado,,Cobertura parcial en TemaServiceImplTest. Generacion interna: no consume proveedor externo (RNF-20)
RF-48,Temas guardados por el estudiante,docs/funcionalidades/CENTRO-ORIENTACION.md; migracion V21,Orientacion,POST /api/v1/orientacion/temas/{temaId}/guardar,Could,Prueba,TemaServiceImplTest.java;TemaPropuestoRepositoryIntegrationTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-49,Gestion del catalogo de orientacion,Migracion V21 (permiso ORIENTACION_CATALOGO_GESTIONAR),Orientacion,POST /api/v1/orientacion/temas,Should,Prueba,TemaServiceImplTest.java;RecursoTitulacionServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-50,Consulta de recursos de titulacion,Migracion V23 (semilla de recursos de titulacion),Orientacion,GET /api/v1/orientacion/recursos,Could,Prueba,RecursoTitulacionServiceImplTest.java;RecursoTitulacionControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-51,Ruta de progreso de titulacion,docs/funcionalidades/CENTRO-ORIENTACION.md; migracion V20,Orientacion,GET /api/v1/orientacion/progreso,Should,Prueba,ProgresoTitulacionServiceImplTest.java;ProgresoTitulacionControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),Los 8 pasos se marcan a mano y pueden discrepar del estado real de la solicitud
RF-52,Gestion de catalogos academicos,Migracion V17 (permiso CARRERAS_GESTIONAR),Catalogos,POST /api/catalogos/carreras,Must,Prueba,CatalogoControllerTest.java,Verificado,backend/src/main/resources/db/migration/V17__gestion_carreras.sql,CARRERAS_GESTIONAR es exclusivo de ADMIN: el Coordinador no gestiona catalogos
RF-53,Consulta de catalogos de apoyo,HU-02,Catalogos,GET /api/catalogos/modalidades,Should,Prueba,CatalogoControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-54,Gestion de estudiantes,Migracion V16 (permiso ESTUDIANTES_GESTIONAR; estados academicos),Estudiantes,POST /api/estudiantes,Must,Prueba,EstudianteServiceTest.java,Verificado,backend/src/main/resources/db/migration/V16__gestion_estudiantes.sql,
RF-55,Consulta del directorio de docentes,HU-03,Docentes,GET /api/docentes/disponibles,Should,Prueba,DocenteControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-56,Reportes de gestion,HU-09 / CU-09,Reportes,GET /api/reportes/resumen,Should,Prueba + Demostracion,ReporteServiceImplTest.java;ReporteControllerTest.java,Verificado,"docs/actas/HISTORIAL-Y-REPORTES.md (E2E: 200 ADMIN/COORDINADOR, 403 DOCENTE/ESTUDIANTE)",
RF-57,Emision de reportes en PDF,HU-09 / CU-09,Reportes,GET /api/reportes/estadisticas/pdf,Should,Prueba + Demostracion,ReporteControllerTest.java,Verificado,docs/actas/HISTORIAL-Y-REPORTES.md,
RF-58,Estadisticas de acompanamiento por tutor,ADR-006; docs/basedatos/CATALOGO-SP.md (sp_obtener_estadisticas_tutores),Tutoria,GET /api/tutores/estadisticas,Could,Prueba,ninguna,Implementado,,"Protegido con EVALUACION_RUBRICA_REGISTRAR: permiso inadecuado, deuda declarada"
RF-59,Consulta de observaciones de la solicitud,HU-02; migracion V1 (solicitud.observaciones),Solicitudes,GET /api/observaciones/solicitud/{solicitudId},Could,Prueba,ninguna,Implementado,,
RF-60,Consulta de la bitacora de auditoria,Criterio de auditoria de la asignatura / OWASP A09,Auditoria,GET /api/auditoria/paginado,Must,Inspeccion,ninguna,Implementado,backend/src/main/resources/db/migration/V15__auditoria.sql,Sin clase de prueba dedicada al modulo de auditoria
RF-61,Respaldo de la base de datos bajo demanda y programado,docs/despliegue/BACKUP.md; criterio de continuidad; migracion V27,Respaldos,POST /api/backups,Must,Demostracion + Inspeccion,ninguna,Implementado,docs/despliegue/BACKUP.md,Falta evidencia archivada de una corrida completa
RF-62,Configuracion del cronograma y la retencion de respaldos,docs/despliegue/BACKUP.md; migracion V28,Respaldos,PUT /api/backups/config,Should,Demostracion + Inspeccion,ninguna,Implementado,docs/despliegue/BACKUP.md,Por omision: full semanal domingo 23:00; retencion 7/5/12; WAL 14 dias
RF-63,Restauracion y prueba de restauracion,docs/despliegue/BACKUP.md; migracion V29,Respaldos,POST /api/backups/{nombre}/restaurar,Must,Demostracion,ninguna,Implementado,docs/despliegue/BACKUP.md,Falta evidencia archivada de una prueba de restauracion exitosa
RF-64,Archivado WAL y recuperacion punto en el tiempo,docs/despliegue/BACKUP.md; migracion V29,Respaldos,GET /api/backups/wal,Should,Demostracion,ninguna,Implementado,docs/despliegue/BACKUP.md,
RNF-01,Tiempo de respuesta de la API,Criterio de rendimiento de la asignatura,Rendimiento,n/a,Must,Analisis,ninguna,Verificado,k6/README.md (corridas 3-7) p95 medio 7.45 ms sobre 5 corridas validas,Umbral p95 < 500 ms con 50 usuarios concurrentes
RNF-02,Rendimiento percibido del cliente web,Criterio de calidad de frontend,Rendimiento,n/a,Should,Analisis,ninguna,No cumplido,"docs/mediciones/perf/lighthouse/LIGHTHOUSE-REPORT.md (2026-09-06) escritorio 68-69, movil 61",Umbral 80. Causa raiz: ejecucion de JS bajo throttling de CPU 4x
RNF-03,Cache de lectura con vigencia acotada,ADR-001,Rendimiento,n/a,Should,Analisis + Inspeccion,ninguna,Verificado,"k6/README.md (corridas 3-7) (Wilcoxon U=0, IC 95%)",TTL 5 min por omision; 10 min universidades; 5 min solicitudes
RNF-04,Degradacion explicita ante caida de la cache distribuida,ADR-002 / OWASP A07,Seguridad,n/a,Must,Prueba,ninguna,No cumplido,,Hoy la revocacion es fail-open y el rate limit produce 500. Se exige fail-closed
RNF-05,Almacenamiento de contrasenas,OWASP A02 / ADR-004,Seguridad,n/a,Must,Prueba + Inspeccion,UsuarioServiceImplTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A02,"BCrypt, factor de coste >= 10"
RNF-06,Politica de contrasenas,OWASP A07 / NIST SP 800-63B,Seguridad,n/a,Must,Prueba,ninguna,No cumplido,,"Exigencia real: 6 caracteres y solo en el alta. Se exige 8 en alta, cambio y reset"
RNF-07,Vigencia de los tokens de sesion,ADR-002,Seguridad,n/a,Must,Prueba + Inspeccion,ninguna,Implementado,,Cobertura parcial en JwtTokenProviderTest. Access 1 h configurable; refresh 7 dias no configurable por entorno
RNF-08,Rotacion del refresh y deteccion de reutilizacion,ADR-002 / OWASP A07,Seguridad,n/a,Must,Prueba,ninguna,Implementado,,Falta prueba del escenario de reutilizacion
RNF-09,Limite de tasa en la autenticacion,OWASP A07 / ADR-004,Seguridad,n/a,Must,Prueba + Analisis,Phase4FeaturesTest.java,Verificado,k6/rate-limiter-evidence-run.json,6 intentos por 60 s y por IP
RNF-10,Cabeceras de seguridad HTTP,OWASP A05 / ADR-004,Seguridad,n/a,Must,Analisis + Inspeccion,ninguna,Verificado,"docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) ZAP: FAIL-NEW 0, WARN-NEW 3, PASS 58, 0 High",HSTS 31536000; CSP script-src self; X-Frame-Options DENY; nosniff
RNF-11,Transporte cifrado,OWASP A02 / ADR-007,Seguridad,n/a,Must,Demostracion,ninguna,Planificado,docs/despliegue/DEPLOYMENT.md,El sistema aun no esta desplegado publicamente: no verificable todavia
RNF-12,Autorizacion resuelta en el servidor,OWASP A01 / ADR-005,Seguridad,n/a,Must,Prueba + Inspeccion,PermisoServiceTest.java;SolicitudAccessServiceTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A01,
RNF-13,Aislamiento de los datos por titular,OWASP A01,Seguridad,n/a,Must,Prueba + Demostracion,SolicitudAccessServiceTest.java;ActaServiceImplTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A01; docs/actas/HISTORIAL-Y-REPORTES.md (IDOR 403),
RNF-14,Ausencia de secretos por omision,OWASP A02,Seguridad,n/a,Must,Inspeccion + Demostracion,ninguna,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) (secreto de tutorial retirado 2026-08-29),
RNF-15,Ausencia de cuentas de demostracion en despliegue no local,OWASP A05 y A07; observacion docente OBS-11 (parcialmente resuelta),Seguridad,n/a,Must,Inspeccion,ninguna,No cumplido,,initDemoData se ejecuta en todo arranque con contrasenas literales en el codigo
RNF-16,Ausencia de construccion dinamica de consultas,OWASP A03 / ADR-006,Seguridad,n/a,Must,Analisis,ninguna,Verificado,docs/mediciones/sec/static-analysis/STATIC-ANALYSIS.md (0 hallazgos de SQL dinamico),
RNF-17,Gestion de componentes de terceros vulnerables,OWASP A06,Seguridad,n/a,Should,Analisis,ninguna,Verificado,"docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) npm audit: 14 (desde 41), todas en tooling de build",Backend no auditado contra base de vulnerabilidades
RNF-18,Registro de auditoria de las acciones,OWASP A09,Auditoria,n/a,Must,Inspeccion + Prueba,ninguna,Verificado,backend/src/main/resources/db/migration/V15__auditoria.sql (fn_auditoria_generica),
RNF-19,Retencion y supresion de datos personales,LOPDP Ecuador / docs/etica/ETHICS.md,Datos personales,n/a,Must,Inspeccion + Demostracion,ninguna,Planificado,docs/etica/ETHICS.md,Ninguno de los 4 criterios esta construido
RNF-20,Minimizacion de datos hacia terceros,LOPDP Ecuador / docs/etica/ETHICS.md,Datos personales,n/a,Must,Inspeccion,ninguna,Verificado,docs/etica/ETHICS.md,Chatbot y generacion de temas son internos: no hay proveedor externo de IA
RNF-21,Cobertura de pruebas automatizadas,Criterio de mantenibilidad de la asignatura,Mantenibilidad,n/a,Must,Analisis,ninguna,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06) 81.03% lineas / 64.39% ramas; 559 pruebas en 48 clases,Ramas del conjunto por debajo del 70%: la diferencia esta en security y enums
RNF-22,Usabilidad medida,Brooke (1996) / docs/etica/ETHICS.md,Usabilidad,n/a,Should,Analisis,ninguna,Planificado,docs/mediciones/sus/SUS-RESULTS.md,"Instrumento listo, sin aplicar a personas reales. Datos previos fabricados fueron retirados"
RNF-23,Accesibilidad,WCAG 2.1 AA,Usabilidad,n/a,Must,Analisis,ninguna,Verificado,docs/mediciones/perf/lighthouse/LIGHTHOUSE-REPORT.md (2026-09-06) Accessibility 100/100 escritorio y movil,
RNF-24,Objetivos de respaldo y recuperacion,docs/despliegue/BACKUP.md,Continuidad,n/a,Must,Demostracion + Analisis,ninguna,Implementado,docs/despliegue/BACKUP.md,RPO por omision (semanal) incompatible con 24 h salvo que el WAL este activo y verificado
RNF-25,Reproducibilidad del entorno y determinismo de la siembra,ADR-007,Operacion,n/a,Should,Demostracion + Inspeccion,ninguna,No cumplido,docs/entorno/TROUBLESHOOTING.md (make all exit 0 verificado),"Los 9 estados de solicitud y el del cronograma se crean bajo demanda, no por migracion"
RNF-26,Versionado uniforme de la API,ADR-001,Operacion,n/a,Should,Inspeccion,ninguna,No cumplido,,8 de 31 controladores usan el prefijo /api/v1; los otros 23 no
